date,value
2018-12-20 13:03:15,26.07
2018-12-20 13:03:54,27.97
2018-12-20 13:04:20,26.17
2018-12-20 13:04:40,24.36
2018-12-20 13:04:57,26.29
2018-12-20 13:05:04,28.09
2018-12-20 13:05:08,29.99
2018-12-20 13:05:48,28.19
2018-12-20 13:06:42,30.03
2018-12-20 13:07:03,28.13
2018-12-20 13:07:13,26.33
2018-12-20 13:07:21,24.48
2018-12-20 13:07:51,26.41
2018-12-20 13:08:10,28.57
2018-12-20 13:08:57,26.62
2018-12-20 13:09:31,28.87
2018-12-20 13:09:46,30.78
2018-12-20 13:10:46,28.85
2018-12-20 13:11:21,30.72
2018-12-20 13:11:34,32.6
2018-12-20 13:11:50,34.84
2018-12-20 13:12:05,36.75
2018-12-20 13:12:19,38.65
2018-12-20 13:12:38,36.75
2018-12-20 13:12:58,34.89
2018-12-20 13:13:14,33.08
2018-12-20 13:13:23,31.03
2018-12-20 13:13:35,29.04
2018-12-20 13:13:45,27.12
2018-12-20 13:13:53,24.91
2018-12-20 13:14:04,22.95
2018-12-20 13:14:14,20.94
2018-12-20 13:14:23,23.3
2018-12-20 13:14:30,25.36
2018-12-20 13:14:42,27.35
2018-12-20 13:14:53,29.37
2018-12-20 13:15:07,31.79
2018-12-20 13:15:26,29.67
2018-12-20 13:15:38,27.79
2018-12-20 13:15:59,29.74
2018-12-20 13:16:04,27.67
2018-12-20 13:16:22,25.81
2018-12-20 13:16:31,23.78
2018-12-20 13:16:52,21.82
2018-12-20 13:17:41,23.75
2018-12-20 13:17:49,25.69
2018-12-20 13:18:03,27.68
2018-12-20 13:18:23,25.72
2018-12-20 13:18:37,23.9
2018-12-20 13:19:09,25.96
2018-12-20 13:19:41,24.02
2018-12-20 13:20:21,26.1
2018-12-20 13:20:39,27.92
2018-12-20 13:20:44,29.88
2018-12-20 13:21:21,32.16
2018-12-20 13:22:23,30.34
2018-12-20 13:22:28,28.24
2018-12-20 13:22:37,26.18
2018-12-20 13:23:01,28.12
2018-12-20 13:23:23,26.29
2018-12-20 13:24:23,28.17
2018-12-20 13:24:29,26.26
2018-12-20 13:24:43,24.36
2018-12-20 13:25:11,26.21
2018-12-20 13:25:26,28.12
2018-12-20 13:25:51,30.32
2018-12-20 13:26:08,28.41
2018-12-20 13:26:18,26.46
2018-12-20 13:26:57,28.33
2018-12-20 13:27:41,30.18
2018-12-20 13:28:08,28.12
2018-12-20 13:28:22,26.24
2018-12-20 13:29:19,24.36
2018-12-20 13:29:31,26.2
2018-12-20 13:29:45,28.35
2018-12-20 13:29:52,30.31
2018-12-20 13:30:01,32.44
2018-12-20 13:30:20,30.58
2018-12-20 13:30:27,28.77
2018-12-20 13:30:57,26.87
2018-12-20 13:31:35,29.16
2018-12-20 13:32:00,27.35
2018-12-20 13:32:41,29.22
2018-12-20 13:33:24,31.08
2018-12-20 13:33:33,33.26
2018-12-20 13:34:04,31.28
2018-12-20 13:34:13,29.4
2018-12-20 13:34:19,27.53
2018-12-20 13:34:27,25.52
2018-12-20 13:34:53,27.45
2018-12-20 13:35:11,25.39
2018-12-20 13:35:24,23.42
2018-12-20 13:36:28,25.26
2018-12-20 13:36:36,27.15
2018-12-20 13:36:43,29.17
2018-12-20 13:37:08,27.21
2018-12-20 13:39:14,25.26
2018-12-20 13:39:52,27.42
2018-12-20 13:40:03,25.56
2018-12-20 13:40:13,23.72
2018-12-20 13:40:27,21.88
2018-12-20 13:40:36,23.75
2018-12-20 13:40:51,26.14
2018-12-20 13:40:59,28.08
2018-12-20 13:41:11,26.27
2018-12-20 13:41:22,24.45
2018-12-20 13:41:30,22.43
2018-12-20 13:41:50,24.4
2018-12-20 13:42:40,26.31
2018-12-20 13:42:49,28.56
2018-12-20 13:43:22,26.65
2018-12-20 13:43:29,24.66
2018-12-20 13:43:45,22.85
2018-12-20 13:44:15,20.92
2018-12-20 13:44:23,22.91
2018-12-20 13:44:39,25.04
2018-12-20 13:44:46,27.1
2018-12-20 13:45:01,28.94
2018-12-20 13:45:13,27.07
2018-12-20 13:45:20,25.19
2018-12-20 13:45:32,23.18
2018-12-20 13:46:06,25.46
2018-12-20 13:46:26,27.32
2018-12-20 13:46:46,25.29
2018-12-20 13:48:02,27.15
2018-12-20 13:48:41,25.09
2018-12-20 13:49:15,26.99
2018-12-20 13:49:53,28.9
2018-12-20 13:50:08,30.92
2018-12-20 13:50:28,29.02
2018-12-20 13:50:43,27.01
2018-12-20 13:50:56,25.17
2018-12-20 13:51:43,27.25
2018-12-20 13:52:04,29.3
2018-12-20 13:52:12,31.37
2018-12-20 13:52:20,33.41
2018-12-20 13:52:42,35.91
2018-12-20 13:52:56,37.75
2018-12-20 13:53:03,39.98
2018-12-20 13:53:37,38.13
2018-12-20 13:53:44,36.17
2018-12-20 13:53:56,34.2
2018-12-20 13:54:00,32.11
2018-12-20 13:54:41,30.11
2018-12-20 13:54:49,28.29
2018-12-20 13:54:58,26.34
2018-12-20 13:55:20,28.43
2018-12-20 13:55:30,30.91
2018-12-20 13:55:37,32.73
2018-12-20 13:56:04,30.91
2018-12-20 13:56:16,29.09
2018-12-20 13:56:43,31.12
2018-12-20 13:56:58,33.17
2018-12-20 13:58:25,35.21
2018-12-20 13:58:46,33.34
2018-12-20 13:59:14,31.24
2018-12-20 13:59:30,29.41
2018-12-20 13:59:43,27.22
2018-12-20 14:00:01,29.1
2018-12-20 14:00:35,27.03
2018-12-20 14:00:42,24.95
2018-12-20 14:01:14,26.92
2018-12-20 14:01:21,28.97
2018-12-20 14:01:43,31.16
2018-12-20 14:02:21,29.24
2018-12-20 14:03:02,27.4
2018-12-20 14:03:44,25.56
2018-12-20 14:04:07,23.62
2018-12-20 14:04:15,21.49
2018-12-20 14:04:30,19.69
2018-12-20 14:04:47,21.55
2018-12-20 14:04:57,23.39
2018-12-20 14:05:25,21.52
2018-12-20 14:05:47,19.69
2018-12-20 14:06:13,21.85
2018-12-20 14:06:21,23.68
2018-12-20 14:06:44,25.7
2018-12-20 14:06:58,27.89
2018-12-20 14:07:12,29.75
2018-12-20 14:07:36,27.49
2018-12-20 14:07:46,25.64
2018-12-20 14:08:00,23.77
2018-12-20 14:09:17,25.93
2018-12-20 14:10:06,24.09
2018-12-20 14:10:26,22.21
2018-12-20 14:11:14,24.05
2018-12-20 14:12:20,26.33
2018-12-20 14:12:49,28.23
2018-12-20 14:13:22,26.04
2018-12-20 14:13:40,28.15
2018-12-20 14:14:06,26.21
2018-12-20 14:16:12,24.38
2018-12-20 14:17:37,26.33
2018-12-20 14:17:56,28.29
2018-12-20 14:18:33,30.12
2018-12-20 14:18:57,28.26
2018-12-20 14:19:07,26.41
